datetime,location,count_operation,count_change,count_total
4/1/17 11:07,Georgetown,+,1,23
4/1/17 11:07,Georgetown,+,1,24
4/1/17 11:07,Georgetown,+,1,25
4/1/17 11:08,Georgetown,-,1,24
4/1/17 11:08,Georgetown,+,1,25
4/1/17 11:09,Georgetown,+,1,26
4/1/17 11:09,Georgetown,+,1,27
4/1/17 11:09,Georgetown,+,1,28
4/1/17 11:09,Georgetown,+,1,29
4/1/17 11:11,Georgetown,+,1,30
4/1/17 11:13,Georgetown,+,1,31
4/1/17 11:50,Georgetown,-,1,30
4/1/17 11:50,Georgetown,-,1,29
4/1/17 11:50,Georgetown,-,1,28
4/1/17 11:50,Georgetown,-,1,27
4/1/17 11:50,Georgetown,-,1,26
4/1/17 11:50,Georgetown,-,1,25
4/1/17 11:50,Georgetown,-,1,24
4/1/17 11:51,Georgetown,-,1,23
4/1/17 11:51,Georgetown,-,1,22
4/1/17 11:51,Georgetown,-,1,21
4/1/17 11:51,Georgetown,-,1,20
4/1/17 11:51,Georgetown,-,1,19
4/1/17 11:51,Georgetown,-,1,18
4/1/17 11:52,Georgetown,-,1,17
4/1/17 11:52,Georgetown,-,1,16
4/1/17 11:52,Georgetown,-,1,15
4/1/17 11:52,Georgetown,-,1,14
4/1/17 11:52,Georgetown,-,1,13
4/1/17 11:54,Georgetown,-,1,12
4/1/17 11:54,Georgetown,-,1,11
4/1/17 11:54,Georgetown,-,1,10
4/1/17 11:54,Georgetown,-,1,9
4/1/17 11:54,Georgetown,-,1,8
4/1/17 11:55,Georgetown,x,8,0
4/1/17 12:42,Georgetown,+,1,1
4/1/17 12:42,Georgetown,+,1,2
4/1/17 12:42,Georgetown,+,1,3
4/1/17 12:42,Georgetown,+,1,4
4/1/17 12:42,Georgetown,+,1,5
4/1/17 12:42,Georgetown,+,1,6
4/1/17 12:42,Georgetown,+,1,7
4/1/17 12:44,Georgetown,+,1,8
4/1/17 12:45,Georgetown,+,1,9
4/1/17 12:46,Georgetown,+,1,10
4/1/17 12:46,Georgetown,+,1,11
4/1/17 12:46,Georgetown,+,1,12
4/1/17 12:46,Georgetown,-,1,11
4/1/17 12:47,Georgetown,+,1,12
4/1/17 12:47,Georgetown,+,1,13
4/1/17 12:47,Georgetown,+,1,14
4/1/17 12:47,Georgetown,+,1,15
4/1/17 12:47,Georgetown,+,1,16
4/1/17 12:49,Georgetown,+,1,17
4/1/17 12:49,Georgetown,+,1,18
4/1/17 12:49,Georgetown,+,1,19
4/1/17 12:49,Georgetown,+,1,20
4/1/17 12:50,Georgetown,+,1,21
4/1/17 12:50,Georgetown,+,1,22
4/1/17 12:50,Georgetown,+,1,23
4/1/17 12:51,Georgetown,-,1,22
4/1/17 12:51,Georgetown,+,1,23
4/1/17 12:52,Georgetown,+,1,24
4/1/17 12:52,Georgetown,-,1,23
4/1/17 12:53,Georgetown,+,1,24
4/1/17 12:54,Georgetown,+,1,25
4/1/17 12:55,Georgetown,+,1,26
4/1/17 12:55,Georgetown,+,1,27
4/1/17 12:55,Georgetown,+,1,28
4/1/17 12:55,Georgetown,+,1,29
4/1/17 12:56,Georgetown,+,1,30
4/1/17 12:56,Georgetown,+,1,31
4/1/17 13:33,Georgetown,-,1,30
4/1/17 13:41,Georgetown,-,1,29
4/1/17 13:41,Georgetown,+,1,30
4/1/17 13:43,Georgetown,+,1,31
4/1/17 14:43,Georgetown,-,1,30
4/1/17 14:43,Georgetown,-,1,29
4/1/17 14:43,Georgetown,-,1,28
4/1/17 14:43,Georgetown,-,1,27
4/1/17 14:43,Georgetown,-,1,26
4/1/17 14:44,Georgetown,-,1,25
4/1/17 14:44,Georgetown,-,1,24
4/1/17 14:44,Georgetown,-,1,23
4/1/17 14:45,Georgetown,+,1,24
4/1/17 14:46,Georgetown,+,1,25
4/1/17 14:46,Georgetown,-,1,24
4/1/17 14:46,Georgetown,-,1,23
4/1/17 14:47,Georgetown,+,1,24
4/1/17 14:47,Georgetown,+,1,25
4/1/17 14:47,Georgetown,+,1,26
4/1/17 14:47,Georgetown,+,1,27
4/1/17 14:47,Georgetown,-,1,26
4/1/17 14:47,Georgetown,+,1,27
4/1/17 14:48,Georgetown,+,1,28
4/1/17 14:48,Georgetown,+,1,29
4/1/17 14:48,Georgetown,+,1,30
4/1/17 14:48,Georgetown,+,1,31
4/1/17 15:27,Georgetown,-,1,30
4/1/17 15:30,Georgetown,+,1,31
4/1/17 16:03,Georgetown,-,1,30
4/1/17 16:14,Georgetown,-,1,29
4/1/17 16:14,Georgetown,-,1,28
4/1/17 16:14,Georgetown,-,1,27
4/1/17 16:14,Georgetown,-,1,26
4/1/17 16:14,Georgetown,-,1,25
4/1/17 16:15,Georgetown,-,1,24
4/1/17 16:15,Georgetown,-,1,23
4/1/17 16:15,Georgetown,-,1,22
4/1/17 16:16,Georgetown,-,1,21
4/1/17 16:17,Georgetown,-,1,20
4/1/17 16:18,Georgetown,-,1,19
4/1/17 16:20,Georgetown,-,1,18
4/1/17 16:20,Georgetown,-,1,17
4/1/17 16:20,Georgetown,-,1,16
4/1/17 16:21,Georgetown,+,1,17
4/1/17 16:28,Georgetown,-,1,16
4/1/17 16:32,Georgetown,+,1,17
4/1/17 16:46,Georgetown,-,1,16
4/1/17 16:47,Georgetown,-,1,15
4/1/17 16:47,Georgetown,-,1,14
4/1/17 16:47,Georgetown,-,1,13
4/1/17 16:49,Georgetown,-,1,12
4/1/17 16:51,Georgetown,-,1,11
4/1/17 16:54,Georgetown,+,1,12
4/1/17 16:57,Georgetown,-,1,11
4/1/17 16:57,Georgetown,-,1,10
4/1/17 16:58,Georgetown,+,1,11
4/1/17 16:59,Georgetown,-,1,10
4/1/17 17:00,Georgetown,-,1,9
4/1/17 17:02,Georgetown,-,1,8
4/1/17 17:08,Georgetown,-,1,7
4/1/17 17:08,Georgetown,-,1,6
4/1/17 17:08,Georgetown,-,1,5
4/1/17 17:08,Georgetown,-,1,4
4/1/17 17:11,Georgetown,x,4,0
4/8/17 9:15,Georgetown,+,1,1
4/8/17 9:15,Georgetown,+,1,2
4/8/17 9:15,Georgetown,+,1,3
4/8/17 9:15,Georgetown,+,1,4
4/8/17 9:15,Georgetown,+,1,5
4/8/17 9:15,Georgetown,+,1,6
4/8/17 9:15,Georgetown,+,1,7
4/8/17 9:15,Georgetown,+,1,8
4/8/17 9:15,Georgetown,+,1,9
4/8/17 9:15,Georgetown,+,1,10
4/8/17 9:15,Georgetown,+,1,11
