datetime,temp,humidity,light,bluetooth_devices,bluetooth_non_personal_devices
3/11/2017 10:55,23,18.3,957,87,
3/11/2017 10:55,23,18.3,954,87,
3/11/2017 10:55,22.9,18.3,949,87,
3/11/2017 10:56,22.9,18.4,960,88,
3/11/2017 10:56,23,18.5,924,88,
3/11/2017 10:56,23,18.7,440,88,
3/11/2017 10:56,22.9,18.7,961,88,
3/11/2017 10:56,22.9,18.5,950,88,
3/11/2017 10:56,23,18.5,955,89,
3/11/2017 10:56,23,18.4,913,90,
3/11/2017 10:56,22.9,18.4,933,90,
3/11/2017 10:56,23,18.5,924,90,
3/11/2017 10:56,23,18.5,944,90,
3/11/2017 10:56,23,18.5,480,90,
3/11/2017 10:57,23,18.7,918,90,
3/11/2017 10:57,23,18.5,965,90,
3/11/2017 10:57,23,18.5,486,90,
3/11/2017 10:57,23,18.4,486,90,
3/11/2017 10:57,23,17.7,940,91,
3/11/2017 10:57,23,18.4,960,91,
3/11/2017 10:57,23,18.4,960,92,
3/11/2017 10:57,23,18.4,960,92,
3/11/2017 10:57,23,18.3,467,92,
3/11/2017 10:57,23,18.5,485,92,
3/11/2017 10:58,23,18.6,479,92,
3/11/2017 10:58,23,18.5,928,93,
3/11/2017 10:58,23,18.4,463,93,
3/11/2017 10:58,23,17.6,471,93,
3/11/2017 10:58,23,18.5,435,93,
3/11/2017 10:58,23,18.5,472,93,
3/11/2017 10:58,23,18.5,472,93,
3/11/2017 10:58,23,18.4,477,93,
3/11/2017 10:58,23,18.5,945,93,
3/11/2017 10:59,23,18.3,927,93,
3/11/2017 10:59,23,18.3,478,93,
3/11/2017 10:59,23,18.5,934,93,
3/11/2017 10:59,23,18.5,470,93,
3/11/2017 10:59,23,18.9,458,93,
3/11/2017 10:59,23,18.8,903,94,
3/11/2017 11:00,23,18.6,469,94,
3/11/2017 11:00,23,18.2,951,94,
3/11/2017 11:00,23,18.3,450,94,
3/11/2017 11:00,23,18.5,446,94,
3/11/2017 11:00,23,18.5,480,94,
3/11/2017 11:00,23,18.4,456,94,
3/11/2017 11:00,23,18.4,390,95,
3/11/2017 11:00,23,18.4,454,95,
3/11/2017 11:00,23,18.4,930,96,
3/11/2017 11:01,23,18.3,434,96,
3/11/2017 11:01,23,17.6,452,96,
3/11/2017 11:01,23,18.4,339,96,
3/11/2017 11:01,23,18.4,450,96,
3/11/2017 11:01,23,18.3,945,96,
3/11/2017 11:01,23,18.2,925,96,
3/11/2017 11:01,23,18.4,920,96,
3/11/2017 11:01,23,18.6,945,96,
3/11/2017 11:01,23,18.5,434,96,
3/11/2017 11:01,23,18.6,470,96,
3/11/2017 11:02,23,18.5,955,96,
3/11/2017 11:02,23,18.3,457,96,
3/11/2017 11:02,23,18.4,918,96,
3/11/2017 11:02,23,18.3,465,96,
3/11/2017 11:02,23,18.3,475,96,
3/11/2017 11:02,23,18.4,455,96,
3/11/2017 11:02,23.1,18.5,915,96,
3/11/2017 11:02,23,18.3,928,96,
3/11/2017 11:02,23,18.6,870,96,
3/11/2017 11:02,23,18.5,949,96,
3/11/2017 11:03,23,18.3,825,96,
3/11/2017 11:03,23.1,18.6,457,96,
3/11/2017 11:03,23.1,18.4,935,96,
3/11/2017 11:03,23.1,18.3,929,96,
3/11/2017 11:03,23,18.2,890,96,
3/11/2017 11:03,23.1,18.3,936,96,
3/11/2017 11:03,23,18.2,929,96,
3/11/2017 11:03,23.1,18.3,916,96,
3/11/2017 11:03,23,18.3,436,96,
3/11/2017 11:03,23.1,18.4,906,96,
3/11/2017 11:04,23.1,18.2,844,96,
3/11/2017 11:04,23.1,17.8,933,96,
3/11/2017 11:04,23.1,18.3,872,96,
3/11/2017 11:04,23.1,18.4,457,96,
3/11/2017 11:04,23.1,18.6,930,96,
3/11/2017 11:04,23.1,18.5,899,96,
3/11/2017 11:04,23.1,18.4,892,96,
3/11/2017 11:04,23.1,18.4,878,96,
3/11/2017 11:04,23.1,18.5,468,96,
3/11/2017 11:04,23.1,18.4,862,96,
3/11/2017 11:05,23.1,18.4,917,96,
3/11/2017 11:05,23.1,18.2,895,96,
3/11/2017 11:05,23.1,18.6,911,96,
3/11/2017 11:05,23.1,18.2,937,96,
3/11/2017 11:05,23.1,18.6,933,97,
3/11/2017 11:05,23.1,18.4,827,97,
3/11/2017 11:05,23.1,18.3,928,97,
3/11/2017 11:05,23.1,18.4,931,97,
3/11/2017 11:05,23.1,18.4,914,97,
3/11/2017 11:05,23.1,18.3,917,98,
3/11/2017 11:05,23.1,18.3,861,98,
3/11/2017 11:06,23.1,18.4,448,98,
3/11/2017 11:06,23.1,18.5,467,98,
3/11/2017 11:06,23.1,18.6,465,98,
3/11/2017 11:06,23.1,18.6,461,99,
3/11/2017 11:06,23.1,18.6,462,99,
3/11/2017 11:06,23.1,18.7,930,99,
3/11/2017 11:06,23.1,18.5,450,99,
3/11/2017 11:06,23.1,18.5,459,99,
3/11/2017 11:06,23.1,18.5,456,99,
3/11/2017 11:06,23.1,18.4,458,99,
3/11/2017 11:07,23.1,18.4,457,99,
3/11/2017 11:07,23.1,18.4,876,99,
